angle,mean,stdev,SDOM
0.5,1.091348876953125,0.004262416869832336,4.262416869832336e-06
10.0,1.07335302734375,0.0034288321712381106,3.4288321712381107e-06
20.0,1.022626708984375,0.002471180250816892,2.471180250816892e-06
30.0,0.944585693359375,0.002273268742541026,2.2732687425410256e-06
40.0,0.83467919921875,0.002151213970780323,2.1512139707803226e-06
50.0,0.753165771484375,0.003650779274814038,3.6507792748140383e-06
60.0,0.610190673828125,0.005463334366605512,5.463334366605512e-06
70.0,0.4472255859375,0.002240315895626067,2.2403158956260667e-06
80.0,0.27385107421875,0.00216692325711051,2.1669232571105098e-06
89.0,0.107896240234375,0.0052163074225238994,5.2163074225239e-06
100.0,-0.08002734375,0.004906502200891291,4.90650220089129e-06
110.0,-0.26144580078125,0.002497572626426854,2.497572626426854e-06
120.0,-0.414925537109375,0.0021177953853875366,2.1177953853875366e-06
130.0,-0.563616943359375,0.005589276229657962,5.589276229657962e-06
140.0,-0.6717568359375,0.005779514279003772,5.779514279003772e-06
150.0,-0.777201171875,0.0026522364194387286,2.6522364194387286e-06
160.0,-0.85058056640625,0.0022606619835091385,2.2606619835091384e-06
170.0,-0.8968466796875,0.0020455101063436005,2.0455101063436004e-06
179.0,-0.909299560546875,0.003953736020538963,3.953736020538963e-06
